2023-07-27 00:27: Experiment log path in: D:\旧电脑文件\毕业相关\论文\大修\代码\TARGCN\model\experiments\PEMSD4\20230727002743
2023-07-27 00:27: Horizon 01, MAE: 17.61, RMSE: 28.54, MAPE: 11.7754%
2023-07-27 00:27: Horizon 02, MAE: 17.94, RMSE: 29.26, MAPE: 12.0317%
2023-07-27 00:27: Horizon 03, MAE: 18.33, RMSE: 29.95, MAPE: 12.3143%
2023-07-27 00:27: Horizon 04, MAE: 18.66, RMSE: 30.53, MAPE: 12.4851%
2023-07-27 00:27: Horizon 05, MAE: 18.94, RMSE: 31.05, MAPE: 12.5838%
2023-07-27 00:27: Horizon 06, MAE: 19.21, RMSE: 31.55, MAPE: 12.6238%
2023-07-27 00:27: Horizon 07, MAE: 19.47, RMSE: 32.02, MAPE: 12.7571%
2023-07-27 00:27: Horizon 08, MAE: 19.70, RMSE: 32.42, MAPE: 12.8843%
2023-07-27 00:27: Horizon 09, MAE: 19.90, RMSE: 32.79, MAPE: 13.0182%
2023-07-27 00:27: Horizon 10, MAE: 20.08, RMSE: 33.14, MAPE: 13.1343%
2023-07-27 00:27: Horizon 11, MAE: 20.29, RMSE: 33.49, MAPE: 13.2766%
2023-07-27 00:27: Horizon 12, MAE: 20.68, RMSE: 34.00, MAPE: 13.5221%
2023-07-27 00:27: Average Horizon, MAE: 19.23, RMSE: 31.61, MAPE: 12.7006%
